dataset,num_samples,accepted,acceptance_rate,accuracy,precision,recall,f1,roc_auc
ASQA,1737.0,689.0,0.39666090961427747,0.8318940702360391,0.9201741654571843,0.7278989667049368,0.8128205128205128,0.9494110987079172
MS MARCO,207.0,120.0,0.5797101449275363,0.8454106280193237,0.8,0.9230769230769231,0.8571428571428571,0.9435212845407019
WikiEval,18.0,11.0,0.6111111111111112,0.7222222222222222,0.7272727272727273,0.8,0.7619047619047619,0.85
Overall,1962.0,820.0,0.417940876656473,0.8323139653414883,0.9,0.749238578680203,0.8177285318559557,0.9367513729483707
