model,accuracy,precision,recall,f1,roc_auc
extra_trees,0.8708800543662929,0.8874003110960332,0.8507614213197968,0.8686933544423491,0.9237369827522008
gradient_boosting,0.8943255181787292,0.9317172383367803,0.8521150592216582,0.8900498855690554,0.9539794287218548
hist_gradient_boosting,0.8849813115868161,0.9068504899651035,0.8592216582064297,0.882357802968247,0.9489547234446413
logistic_regression,0.8205912334352702,0.7957116595922478,0.8646362098138748,0.8287406380803608,0.9007436695433203
random_forest,0.8754672103295956,0.8934152474740631,0.8538071065989848,0.8731620152896747,0.9412798944245567
xgboost,0.8910975195378864,0.918607766679882,0.8592216582064297,0.8879168891399402,0.9530338218968595
