dataset,num_samples,accuracy,acceptance_rate,precision,recall,f1,roc_auc,avg_confidence
ASQA,1737.3333333333333,0.8457404768482357,0.39869509020817473,0.9355182972011248,0.7436871745717425,0.8286440825296947,0.8460545187716296,0.9157714251454006
MS MARCO,207.0,0.9178743961352657,0.429951690821256,0.9887630991563575,0.8461538461538461,0.9118976238804907,0.9182225541448843,0.8987922705314012
Overall,1962.3333333333333,0.8539152541522066,0.4042804973906499,0.9403391449725341,0.7571036816617073,0.8388298823511362,0.8543280264330372,0.9140395351723501
WikiEval,18.0,0.9074074074074074,0.6481481481481481,0.8585858585858586,1.0,0.9235209235209235,0.8958333333333334,0.9222222222222222
