dataset,num_samples,accepted,acceptance_rate,accuracy,precision,recall,f1,roc_auc
ASQA,1737,675,0.38860103626943004,0.8261370178468624,0.9214814814814815,0.7141216991963261,0.8046571798188874,0.9405583558491076
MS MARCO,207,134,0.6473429951690821,0.7971014492753623,0.7313432835820896,0.9423076923076923,0.8235294117647058,0.913414861837192
WikiEval,18,10,0.5555555555555556,0.7777777777777778,0.8,0.8,0.8,0.7875
Overall,1962,819,0.41743119266055045,0.8226299694189603,0.8888888888888888,0.7390862944162436,0.8070953436807096,0.9223194384550241
