dataset,num_samples,accepted,acceptance_rate,accuracy,precision,recall,f1,roc_auc
ASQA,1737.0,795.6666666666666,0.45806946843216273,0.8890807906351949,0.9264375990706618,0.8461538461538461,0.8843833238924185,0.8892047136850832
MS MARCO,207.0,95.66666666666667,0.46215780998389694,0.9371980676328503,0.9757950223099993,0.8974358974358975,0.9348680705634015,0.9373910878765247
WikiEval,18.0,9.666666666666666,0.5370370370370371,0.9074074074074074,0.9333333333333332,0.9,0.9157894736842106,0.9083333333333332
